Fecha,Producto,Categoria,Canal,Precio_Unitario,Costo_Unitario,Cantidad
2024-01-11,Lavandina,Limpieza,Mayorista,4500,3000,61
2024-01-11,Shampoo,Higiene,Supermercado,15000,11000,92
2024-01-11,Galletitas,Alimentos,Mayorista,5000,3500,58
2024-01-11,Galletitas,Alimentos,Supermercado,5000,3500,172
2024-01-12,Aceite 900ml,Alimentos,Mayorista,12000,9500,130
2024-01-12,Detergente,Limpieza,Almacen,7000,5000,59
2024-01-12,Aceite 900ml,Alimentos,Almacen,12000,9500,52
2024-01-12,Detergente,Limpieza,Supermercado,7000,5000,89
2024-01-12,Lavandina,Limpieza,Almacen,4500,3000,117
2024-01-12,Papel Higienico,Higiene,Almacen,18000,13000,128
2024-01-12,Detergente,Limpieza,Supermercado,7000,5000,182
2024-01-12,Aceite 900ml,Alimentos,Almacen,12000,9500,141
2024-01-12,Arroz 1kg,Alimentos,Supermercado,5500,4200,13
2024-01-12,Arroz 1kg,Alimentos,Supermercado,5500,4200,68
2024-01-12,Galletitas,Alimentos,Mayorista,5000,3500,102
2024-01-12,Arroz 1kg,Alimentos,Mayorista,5500,4200,102
2024-01-13,Aceite 900ml,Alimentos,Almacen,12000,9500,77
2024-01-13,Arroz 1kg,Alimentos,Almacen,5500,4200,187
2024-01-13,Shampoo,Higiene,Mayorista,15000,11000,73
2024-01-13,Aceite 900ml,Alimentos,Almacen,12000,9500,51
2024-01-13,Arroz 1kg,Alimentos,Almacen,5500,4200,139
2024-01-14,Arroz 1kg,Alimentos,Mayorista,5500,4200,48
2024-01-14,Shampoo,Higiene,Supermercado,15000,11000,193
2024-01-14,Papel Higienico,Higiene,Almacen,18000,13000,50
2024-01-14,Arroz 1kg,Alimentos,Almacen,5500,4200,82
2024-01-14,Shampoo,Higiene,Supermercado,15000,11000,95
2024-01-14,Shampoo,Higiene,Almacen,15000,11000,37
2024-01-14,Aceite 900ml,Alimentos,Almacen,12000,9500,49
2024-01-14,Detergente,Limpieza,Almacen,7000,5000,102
2024-01-14,Lavandina,Limpieza,Almacen,4500,3000,125
2024-01-14,Papel Higienico,Higiene,Almacen,18000,13000,82
2024-01-14,Detergente,Limpieza,Almacen,7000,5000,28
2024-01-14,Lavandina,Limpieza,Almacen,4500,3000,21
2024-01-15,Papel Higienico,Higiene,Almacen,18000,13000,43
2024-01-15,Galletitas,Alimentos,Supermercado,5000,3500,121
2024-01-15,Papel Higienico,Higiene,Mayorista,18000,13000,43
2024-01-15,Galletitas,Alimentos,Mayorista,5000,3500,128
2024-01-15,Detergente,Limpieza,Supermercado,7000,5000,151
2024-01-15,Galletitas,Alimentos,Mayorista,5000,3500,156
2024-01-15,Lavandina,Limpieza,Mayorista,4500,3000,200
2024-01-15,Arroz 1kg,Alimentos,Supermercado,5500,4200,102
2024-01-15,Galletitas,Alimentos,Almacen,5000,3500,74
2024-01-16,Galletitas,Alimentos,Supermercado,5000,3500,142
2024-01-16,Lavandina,Limpieza,Supermercado,4500,3000,152
2024-01-16,Lavandina,Limpieza,Almacen,4500,3000,113
2024-01-16,Detergente,Limpieza,Almacen,7000,5000,194
2024-01-16,Detergente,Limpieza,Supermercado,7000,5000,158
2024-01-16,Shampoo,Higiene,Almacen,15000,11000,108
2024-01-16,Shampoo,Higiene,Mayorista,15000,11000,158
2024-01-16,Arroz 1kg,Alimentos,Almacen,5500,4200,120
2024-01-16,Lavandina,Limpieza,Almacen,4500,3000,26
2024-01-16,Shampoo,Higiene,Mayorista,15000,11000,170
2024-01-17,Galletitas,Alimentos,Mayorista,5000,3500,53
2024-01-17,Galletitas,Alimentos,Almacen,5000,3500,122
2024-01-17,Lavandina,Limpieza,Mayorista,4500,3000,162
2024-01-17,Shampoo,Higiene,Almacen,15000,11000,65
2024-01-17,Aceite 900ml,Alimentos,Mayorista,12000,9500,115
2024-01-17,Shampoo,Higiene,Almacen,15000,11000,141
2024-01-17,Arroz 1kg,Alimentos,Supermercado,5500,4200,18
2024-01-17,Arroz 1kg,Alimentos,Supermercado,5500,4200,11
2024-01-17,Arroz 1kg,Alimentos,Mayorista,5500,4200,16
2024-01-17,Aceite 900ml,Alimentos,Supermercado,12000,9500,159
2024-01-17,Shampoo,Higiene,Mayorista,15000,11000,86
2024-01-17,Detergente,Limpieza,Supermercado,7000,5000,171
2024-01-18,Galletitas,Alimentos,Mayorista,5000,3500,154
2024-01-18,Detergente,Limpieza,Mayorista,7000,5000,108
2024-01-18,Lavandina,Limpieza,Supermercado,4500,3000,35
2024-01-18,Detergente,Limpieza,Mayorista,7000,5000,105
2024-01-18,Arroz 1kg,Alimentos,Mayorista,5500,4200,151
2024-01-19,Arroz 1kg,Alimentos,Supermercado,5500,4200,65
2024-01-19,Aceite 900ml,Alimentos,Almacen,12000,9500,27
2024-01-19,Detergente,Limpieza,Mayorista,7000,5000,63
2024-01-19,Arroz 1kg,Alimentos,Almacen,5500,4200,73
2024-01-19,Shampoo,Higiene,Mayorista,15000,11000,145
2024-01-20,Aceite 900ml,Alimentos,Supermercado,12000,9500,74
2024-01-20,Papel Higienico,Higiene,Supermercado,18000,13000,189
2024-01-20,Papel Higienico,Higiene,Almacen,18000,13000,161
2024-01-20,Detergente,Limpieza,Mayorista,7000,5000,119
2024-01-20,Arroz 1kg,Alimentos,Almacen,5500,4200,179
2024-01-20,Arroz 1kg,Alimentos,Mayorista,5500,4200,36
2024-01-20,Lavandina,Limpieza,Supermercado,4500,3000,143
2024-01-20,Lavandina,Limpieza,Supermercado,4500,3000,41
2024-01-20,Detergente,Limpieza,Almacen,7000,5000,145
2024-01-20,Shampoo,Higiene,Almacen,15000,11000,87
2024-01-21,Arroz 1kg,Alimentos,Almacen,5500,4200,87
2024-01-21,Shampoo,Higiene,Supermercado,15000,11000,48
2024-01-21,Galletitas,Alimentos,Supermercado,5000,3500,30
2024-01-21,Shampoo,Higiene,Supermercado,15000,11000,114
2024-01-21,Galletitas,Alimentos,Mayorista,5000,3500,186
2024-01-21,Aceite 900ml,Alimentos,Mayorista,12000,9500,98
2024-01-21,Aceite 900ml,Alimentos,Mayorista,12000,9500,173
2024-01-21,Papel Higienico,Higiene,Mayorista,18000,13000,42
2024-01-21,Shampoo,Higiene,Supermercado,15000,11000,175
2024-01-21,Detergente,Limpieza,Supermercado,7000,5000,131
2024-01-22,Arroz 1kg,Alimentos,Mayorista,5500,4200,10
2024-01-22,Aceite 900ml,Alimentos,Supermercado,12000,9500,182
2024-01-22,Papel Higienico,Higiene,Supermercado,18000,13000,67
2024-01-22,Shampoo,Higiene,Almacen,15000,11000,140
2024-01-22,Shampoo,Higiene,Almacen,15000,11000,90
2024-01-22,Aceite 900ml,Alimentos,Supermercado,12000,9500,98
2024-01-22,Papel Higienico,Higiene,Mayorista,18000,13000,64
2024-01-22,Arroz 1kg,Alimentos,Almacen,5500,4200,33
2024-01-22,Arroz 1kg,Alimentos,Almacen,5500,4200,126
2024-01-23,Lavandina,Limpieza,Almacen,4500,3000,33
2024-01-23,Arroz 1kg,Alimentos,Supermercado,5500,4200,141
2024-01-23,Arroz 1kg,Alimentos,Almacen,5500,4200,15
2024-01-23,Papel Higienico,Higiene,Almacen,18000,13000,79
2024-01-23,Papel Higienico,Higiene,Mayorista,18000,13000,154
2024-01-23,Detergente,Limpieza,Supermercado,7000,5000,192
2024-01-24,Detergente,Limpieza,Mayorista,7000,5000,193
2024-01-24,Detergente,Limpieza,Almacen,7000,5000,14
2024-01-24,Arroz 1kg,Alimentos,Supermercado,5500,4200,175
2024-01-24,Lavandina,Limpieza,Supermercado,4500,3000,72
2024-01-24,Papel Higienico,Higiene,Almacen,18000,13000,26
2024-01-24,Arroz 1kg,Alimentos,Mayorista,5500,4200,176
2024-01-24,Arroz 1kg,Alimentos,Mayorista,5500,4200,70
2024-01-25,Aceite 900ml,Alimentos,Mayorista,12000,9500,110
2024-01-25,Aceite 900ml,Alimentos,Supermercado,12000,9500,144
2024-01-25,Arroz 1kg,Alimentos,Almacen,5500,4200,121
2024-01-25,Lavandina,Limpieza,Supermercado,4500,3000,128
2024-01-25,Papel Higienico,Higiene,Almacen,18000,13000,111
2024-01-25,Arroz 1kg,Alimentos,Mayorista,5500,4200,38
2024-01-25,Arroz 1kg,Alimentos,Supermercado,5500,4200,199
2024-01-25,Aceite 900ml,Alimentos,Almacen,12000,9500,158
2024-01-25,Detergente,Limpieza,Almacen,7000,5000,94
2024-01-25,Lavandina,Limpieza,Mayorista,4500,3000,131
2024-01-26,Detergente,Limpieza,Supermercado,7000,5000,99
2024-01-26,Papel Higienico,Higiene,Supermercado,18000,13000,195
2024-01-26,Aceite 900ml,Alimentos,Almacen,12000,9500,168
2024-01-26,Lavandina,Limpieza,Supermercado,4500,3000,143
2024-01-26,Shampoo,Higiene,Supermercado,15000,11000,191
2024-01-26,Lavandina,Limpieza,Supermercado,4500,3000,55
2024-01-26,Shampoo,Higiene,Supermercado,15000,11000,193
2024-01-26,Arroz 1kg,Alimentos,Almacen,5500,4200,184
2024-01-26,Papel Higienico,Higiene,Mayorista,18000,13000,49
2024-01-27,Shampoo,Higiene,Almacen,15000,11000,71
2024-01-27,Galletitas,Alimentos,Supermercado,5000,3500,68
2024-01-27,Lavandina,Limpieza,Mayorista,4500,3000,191
2024-01-27,Galletitas,Alimentos,Supermercado,5000,3500,135
2024-01-27,Shampoo,Higiene,Mayorista,15000,11000,193
2024-01-27,Detergente,Limpieza,Supermercado,7000,5000,161
2024-01-27,Papel Higienico,Higiene,Almacen,18000,13000,28
2024-01-27,Galletitas,Alimentos,Almacen,5000,3500,101
2024-01-27,Shampoo,Higiene,Mayorista,15000,11000,171
2024-01-27,Papel Higienico,Higiene,Supermercado,18000,13000,182
2024-01-28,Papel Higienico,Higiene,Mayorista,18000,13000,55
2024-01-28,Shampoo,Higiene,Mayorista,15000,11000,136
2024-01-28,Shampoo,Higiene,Mayorista,15000,11000,128
2024-01-28,Shampoo,Higiene,Mayorista,15000,11000,140
2024-01-28,Galletitas,Alimentos,Supermercado,5000,3500,154
2024-01-29,Arroz 1kg,Alimentos,Mayorista,5500,4200,132
2024-01-29,Detergente,Limpieza,Almacen,7000,5000,93
2024-01-29,Papel Higienico,Higiene,Almacen,18000,13000,188
2024-01-29,Arroz 1kg,Alimentos,Almacen,5500,4200,88
2024-01-29,Arroz 1kg,Alimentos,Mayorista,5500,4200,109
2024-01-29,Arroz 1kg,Alimentos,Supermercado,5500,4200,129
2024-01-29,Papel Higienico,Higiene,Almacen,18000,13000,189
2024-01-29,Aceite 900ml,Alimentos,Mayorista,12000,9500,44
2024-01-30,Papel Higienico,Higiene,Mayorista,18000,13000,80
2024-01-30,Aceite 900ml,Alimentos,Almacen,12000,9500,123
2024-01-30,Aceite 900ml,Alimentos,Almacen,12000,9500,100
2024-01-30,Galletitas,Alimentos,Supermercado,5000,3500,54
2024-01-30,Lavandina,Limpieza,Supermercado,4500,3000,40
2024-01-30,Detergente,Limpieza,Mayorista,7000,5000,113
2024-01-30,Shampoo,Higiene,Almacen,15000,11000,186
2024-01-30,Galletitas,Alimentos,Almacen,5000,3500,156
2024-01-30,Galletitas,Alimentos,Mayorista,5000,3500,97
2024-01-31,Galletitas,Alimentos,Mayorista,5000,3500,168
2024-01-31,Papel Higienico,Higiene,Mayorista,18000,13000,118
2024-01-31,Aceite 900ml,Alimentos,Supermercado,12000,9500,111
2024-01-31,Papel Higienico,Higiene,Almacen,18000,13000,173
2024-01-31,Papel Higienico,Higiene,Mayorista,18000,13000,180
2024-01-31,Shampoo,Higiene,Mayorista,15000,11000,23
2024-01-31,Arroz 1kg,Alimentos,Almacen,5500,4200,64
2024-01-31,Aceite 900ml,Alimentos,Almacen,12000,9500,168
2024-01-31,Papel Higienico,Higiene,Almacen,18000,13000,118
2024-01-31,Lavandina,Limpieza,Supermercado,4500,3000,119
2024-01-31,Arroz 1kg,Alimentos,Almacen,5500,4200,126
2024-02-01,Shampoo,Higiene,Mayorista,15000,11000,89
2024-02-01,Aceite 900ml,Alimentos,Almacen,12000,9500,188
2024-02-01,Lavandina,Limpieza,Almacen,4500,3000,44
2024-02-01,Papel Higienico,Higiene,Mayorista,18000,13000,124
2024-02-01,Arroz 1kg,Alimentos,Mayorista,5500,4200,102
2024-02-01,Galletitas,Alimentos,Almacen,5000,3500,125
2024-02-01,Papel Higienico,Higiene,Almacen,18000,13000,67
2024-02-01,Shampoo,Higiene,Supermercado,15000,11000,172
2024-02-01,Papel Higienico,Higiene,Mayorista,18000,13000,120
2024-02-01,Galletitas,Alimentos,Mayorista,5000,3500,34
2024-02-02,Arroz 1kg,Alimentos,Supermercado,5500,4200,86
2024-02-02,Papel Higienico,Higiene,Supermercado,18000,13000,191
2024-02-02,Aceite 900ml,Alimentos,Almacen,12000,9500,16
2024-02-02,Arroz 1kg,Alimentos,Almacen,5500,4200,194
2024-02-02,Aceite 900ml,Alimentos,Supermercado,12000,9500,131
2024-02-03,Detergente,Limpieza,Supermercado,7000,5000,114
2024-02-03,Detergente,Limpieza,Mayorista,7000,5000,156
2024-02-03,Galletitas,Alimentos,Supermercado,5000,3500,110
2024-02-03,Papel Higienico,Higiene,Mayorista,18000,13000,148
2024-02-03,Lavandina,Limpieza,Almacen,4500,3000,80
2024-02-03,Aceite 900ml,Alimentos,Mayorista,12000,9500,114
2024-02-03,Galletitas,Alimentos,Mayorista,5000,3500,152
2024-02-03,Shampoo,Higiene,Mayorista,15000,11000,52
2024-02-03,Shampoo,Higiene,Mayorista,15000,11000,140
2024-02-03,Arroz 1kg,Alimentos,Almacen,5500,4200,103
2024-02-04,Shampoo,Higiene,Mayorista,15000,11000,79
2024-02-04,Arroz 1kg,Alimentos,Supermercado,5500,4200,45
2024-02-04,Detergente,Limpieza,Mayorista,7000,5000,76
2024-02-04,Galletitas,Alimentos,Mayorista,5000,3500,181
2024-02-04,Galletitas,Alimentos,Almacen,5000,3500,49
2024-02-04,Shampoo,Higiene,Supermercado,15000,11000,123
2024-02-04,Detergente,Limpieza,Mayorista,7000,5000,183
2024-02-04,Galletitas,Alimentos,Almacen,5000,3500,137
2024-02-04,Galletitas,Alimentos,Mayorista,5000,3500,128
2024-02-04,Shampoo,Higiene,Almacen,15000,11000,166
2024-02-04,Lavandina,Limpieza,Mayorista,4500,3000,55
2024-02-05,Shampoo,Higiene,Mayorista,15000,11000,192
2024-02-05,Galletitas,Alimentos,Supermercado,5000,3500,161
2024-02-05,Papel Higienico,Higiene,Almacen,18000,13000,160
2024-02-05,Aceite 900ml,Alimentos,Supermercado,12000,9500,173
2024-02-05,Shampoo,Higiene,Supermercado,15000,11000,73
2024-02-05,Papel Higienico,Higiene,Almacen,18000,13000,130
2024-02-05,Papel Higienico,Higiene,Almacen,18000,13000,173
2024-02-05,Aceite 900ml,Alimentos,Supermercado,12000,9500,120
2024-02-05,Lavandina,Limpieza,Mayorista,4500,3000,144
2024-02-06,Aceite 900ml,Alimentos,Almacen,12000,9500,30
2024-02-06,Galletitas,Alimentos,Mayorista,5000,3500,121
2024-02-06,Papel Higienico,Higiene,Supermercado,18000,13000,94
2024-02-06,Arroz 1kg,Alimentos,Supermercado,5500,4200,73
2024-02-06,Aceite 900ml,Alimentos,Almacen,12000,9500,183
2024-02-06,Galletitas,Alimentos,Almacen,5000,3500,188
2024-02-06,Arroz 1kg,Alimentos,Supermercado,5500,4200,104
2024-02-06,Galletitas,Alimentos,Almacen,5000,3500,20
2024-02-07,Aceite 900ml,Alimentos,Almacen,12000,9500,123
2024-02-07,Lavandina,Limpieza,Supermercado,4500,3000,89
2024-02-07,Papel Higienico,Higiene,Almacen,18000,13000,194
2024-02-07,Galletitas,Alimentos,Almacen,5000,3500,61
2024-02-07,Detergente,Limpieza,Supermercado,7000,5000,124
2024-02-08,Lavandina,Limpieza,Supermercado,4500,3000,47
2024-02-08,Arroz 1kg,Alimentos,Supermercado,5500,4200,78
2024-02-08,Aceite 900ml,Alimentos,Mayorista,12000,9500,140
2024-02-08,Detergente,Limpieza,Supermercado,7000,5000,26
2024-02-08,Detergente,Limpieza,Almacen,7000,5000,36
2024-02-08,Galletitas,Alimentos,Almacen,5000,3500,69
2024-02-08,Lavandina,Limpieza,Almacen,4500,3000,10
2024-02-08,Aceite 900ml,Alimentos,Mayorista,12000,9500,81
2024-02-08,Aceite 900ml,Alimentos,Almacen,12000,9500,166
2024-02-08,Papel Higienico,Higiene,Mayorista,18000,13000,129
2024-02-08,Shampoo,Higiene,Supermercado,15000,11000,85
2024-02-09,Arroz 1kg,Alimentos,Supermercado,5500,4200,35
2024-02-09,Aceite 900ml,Alimentos,Almacen,12000,9500,126
2024-02-09,Papel Higienico,Higiene,Mayorista,18000,13000,31
2024-02-09,Shampoo,Higiene,Mayorista,15000,11000,196
2024-02-09,Aceite 900ml,Alimentos,Supermercado,12000,9500,150
2024-02-09,Lavandina,Limpieza,Almacen,4500,3000,188
2024-02-09,Papel Higienico,Higiene,Supermercado,18000,13000,168
2024-02-10,Shampoo,Higiene,Supermercado,15000,11000,184
2024-02-10,Papel Higienico,Higiene,Supermercado,18000,13000,30
2024-02-10,Aceite 900ml,Alimentos,Supermercado,12000,9500,22
2024-02-10,Galletitas,Alimentos,Mayorista,5000,3500,73
2024-02-10,Lavandina,Limpieza,Supermercado,4500,3000,16
2024-02-10,Detergente,Limpieza,Mayorista,7000,5000,82
2024-02-10,Papel Higienico,Higiene,Supermercado,18000,13000,83
2024-02-10,Arroz 1kg,Alimentos,Almacen,5500,4200,83
2024-02-11,Papel Higienico,Higiene,Almacen,18000,13000,112
2024-02-11,Papel Higienico,Higiene,Supermercado,18000,13000,158
2024-02-11,Shampoo,Higiene,Supermercado,15000,11000,147
2024-02-11,Lavandina,Limpieza,Supermercado,4500,3000,56
2024-02-11,Lavandina,Limpieza,Mayorista,4500,3000,198
2024-02-11,Detergente,Limpieza,Almacen,7000,5000,193
2024-02-11,Lavandina,Limpieza,Supermercado,4500,3000,109
2024-02-11,Papel Higienico,Higiene,Mayorista,18000,13000,150
2024-02-11,Papel Higienico,Higiene,Almacen,18000,13000,177
2024-02-11,Arroz 1kg,Alimentos,Mayorista,5500,4200,184
2024-02-12,Detergente,Limpieza,Supermercado,7000,5000,137
2024-02-12,Lavandina,Limpieza,Mayorista,4500,3000,80
2024-02-12,Detergente,Limpieza,Supermercado,7000,5000,134
2024-02-12,Detergente,Limpieza,Supermercado,7000,5000,64
2024-02-12,Arroz 1kg,Alimentos,Supermercado,5500,4200,33
2024-02-12,Detergente,Limpieza,Supermercado,7000,5000,80
2024-02-12,Arroz 1kg,Alimentos,Almacen,5500,4200,35
2024-02-13,Detergente,Limpieza,Almacen,7000,5000,101
2024-02-13,Lavandina,Limpieza,Supermercado,4500,3000,115
2024-02-13,Lavandina,Limpieza,Mayorista,4500,3000,31
2024-02-13,Detergente,Limpieza,Almacen,7000,5000,168
2024-02-13,Aceite 900ml,Alimentos,Supermercado,12000,9500,89
2024-02-13,Papel Higienico,Higiene,Supermercado,18000,13000,170
2024-02-13,Aceite 900ml,Alimentos,Almacen,12000,9500,90
2024-02-14,Shampoo,Higiene,Mayorista,15000,11000,102
2024-02-14,Galletitas,Alimentos,Mayorista,5000,3500,165
2024-02-14,Aceite 900ml,Alimentos,Supermercado,12000,9500,109
2024-02-14,Detergente,Limpieza,Supermercado,7000,5000,76
2024-02-14,Shampoo,Higiene,Mayorista,15000,11000,119
2024-02-14,Shampoo,Higiene,Supermercado,15000,11000,134
2024-02-14,Galletitas,Alimentos,Mayorista,5000,3500,177
2024-02-14,Detergente,Limpieza,Almacen,7000,5000,191
2024-02-14,Arroz 1kg,Alimentos,Mayorista,5500,4200,114
2024-02-15,Galletitas,Alimentos,Mayorista,5000,3500,173
2024-02-15,Galletitas,Alimentos,Mayorista,5000,3500,183
2024-02-15,Detergente,Limpieza,Supermercado,7000,5000,182
2024-02-15,Galletitas,Alimentos,Almacen,5000,3500,166
2024-02-15,Aceite 900ml,Alimentos,Supermercado,12000,9500,28
2024-02-15,Arroz 1kg,Alimentos,Supermercado,5500,4200,124
2024-02-16,Lavandina,Limpieza,Almacen,4500,3000,109
2024-02-16,Arroz 1kg,Alimentos,Supermercado,5500,4200,99
2024-02-16,Arroz 1kg,Alimentos,Mayorista,5500,4200,92
2024-02-16,Detergente,Limpieza,Mayorista,7000,5000,88
2024-02-16,Arroz 1kg,Alimentos,Almacen,5500,4200,194
2024-02-17,Arroz 1kg,Alimentos,Supermercado,5500,4200,165
2024-02-17,Arroz 1kg,Alimentos,Supermercado,5500,4200,101
2024-02-17,Lavandina,Limpieza,Mayorista,4500,3000,196
2024-02-17,Aceite 900ml,Alimentos,Mayorista,12000,9500,120
2024-02-17,Detergente,Limpieza,Supermercado,7000,5000,153
2024-02-17,Papel Higienico,Higiene,Mayorista,18000,13000,180
2024-02-17,Shampoo,Higiene,Mayorista,15000,11000,71
2024-02-17,Shampoo,Higiene,Almacen,15000,11000,56
2024-02-17,Detergente,Limpieza,Mayorista,7000,5000,39
2024-02-17,Aceite 900ml,Alimentos,Almacen,12000,9500,112
2024-02-17,Arroz 1kg,Alimentos,Mayorista,5500,4200,76
2024-02-18,Papel Higienico,Higiene,Almacen,18000,13000,92
2024-02-18,Arroz 1kg,Alimentos,Almacen,5500,4200,108
2024-02-18,Galletitas,Alimentos,Mayorista,5000,3500,51
2024-02-18,Galletitas,Alimentos,Mayorista,5000,3500,83
2024-02-18,Papel Higienico,Higiene,Supermercado,18000,13000,32
2024-02-18,Arroz 1kg,Alimentos,Almacen,5500,4200,139
2024-02-18,Detergente,Limpieza,Almacen,7000,5000,20
2024-02-18,Aceite 900ml,Alimentos,Supermercado,12000,9500,177
2024-02-18,Galletitas,Alimentos,Supermercado,5000,3500,105
2024-02-18,Galletitas,Alimentos,Almacen,5000,3500,152
2024-02-18,Detergente,Limpieza,Mayorista,7000,5000,102
2024-02-18,Papel Higienico,Higiene,Almacen,18000,13000,181
2024-02-19,Aceite 900ml,Alimentos,Mayorista,12000,9500,33
2024-02-19,Aceite 900ml,Alimentos,Supermercado,12000,9500,23
2024-02-19,Lavandina,Limpieza,Mayorista,4500,3000,113
2024-02-19,Papel Higienico,Higiene,Mayorista,18000,13000,142
2024-02-19,Galletitas,Alimentos,Supermercado,5000,3500,92
2024-02-19,Shampoo,Higiene,Supermercado,15000,11000,192
2024-02-19,Aceite 900ml,Alimentos,Mayorista,12000,9500,35
2024-02-19,Galletitas,Alimentos,Mayorista,5000,3500,79
